set_num,name,year,theme_id,num_parts
5000063-1,TC-14,2012,158,3
5000067-1,Star Wars Sith Kit,2011,158,0
5001136-1,Buildable Galaxy Collection,2012,158,0
5001137-1,Battle Pack Collection,2012,158,0
5001307-1,Buildable Galaxy Collection II,2012,158,0
5001308-1,The Old Republic Collection,2012,158,0
5001309-1,Return of the Jedi Collection,2012,158,0
5001621-1,Han Solo (Hoth),2013,158,5
5001709-1,Clone Trooper Lieutenant,2013,158,5
5002122-1,TC-4,2014,158,3
5002123-1,Darth Revan,2014,158,7
5002938-1,Stormtrooper Sergeant,2015,158,6
5002939-1,The Phantom,2015,158,23
5002947-1,Admiral Yularen,2015,158,4
5002948-1,C-3PO,2015,158,3
5004406-1,First Order General,2016,158,4
5004408-1,Rebel A-wing Pilot,2016,158,5
5005376-1,Darth Vader,2018,158,37
5005887-1,Star Wars 20th Anniversary Lightsaber Poster (Blue),2019,158,0
5005887-2,Star Wars 20th Anniversary Lightsaber Poster (Red),2019,158,0
5005888-1,Star Wars 20th Anniversary Art Print,2019,158,1
5006290-1,Yoda's Lightsaber,2020,158,140
55555-1,Star Wars Mini Millennium Falcon,2017,158,20
6176782-1,Escape the Space Slug,2016,158,161
6205-1,V-wing Fighter,2006,158,118
6206-1,TIE Interceptor,2006,158,212
6207-1,A-wing Fighter,2006,158,194
6208-1,B-wing Fighter,2006,158,439
6209-1,Slave I,2006,158,537
6210-1,Jabba's Sail Barge,2006,158,782
6211-1,Imperial Star Destroyer,2006,158,1389
6211760-1,Detention Block Rescue,2017,158,220
6212-1,X-wing Fighter,2006,158,437
6252770-1,Leia Organa,2018,158,18
6252808-1,Chewbacca,2018,158,22
6252810-1,Han Solo,2018,158,23
6252811-1,Obi-Wan Kenobi,2018,158,18
6252812-1,Luke Skywalker,2018,158,20
65028-1,Star Wars Co-Pack of 7115 7124 and 7141,2001,158,0
65030-1,Star Wars Co-Pack of 7104 and 7144,2001,158,0
65034-1,Star Wars Co-Pack of 7121 and 7161,2001,158,0
65081-1,R2-D2 / C-3PO Droid Collectors Set,2002,18,1
65106-1,Episode II Co-Pack (contains 7103 7113),2002,158,0
65145-1,X-wing Fighter / TIE Fighter & Y-wing Collectors Set,2002,158,0
65153-1,Jango Fett's Slave I with Bonus Carrying Case,2002,158,0
65771-1,Episode III Collectors' Set,2005,158,2
65844-1,Star Wars Co-Pack of 7255 4492 and 4494,2005,158,0
65845-1,Star Wars Co-Pack of 7256 4492 and 4494,2005,158,0
66221-1,X-wing Fighter and Luke Pilot Maquette Co-Pack (TRU Exclusive),2007,158,0
66308-1,Star Wars Super Pack 3 in 1 (7667 7668 8017),2009,158,0
66341-1,Star Wars Super Pack 3 in 1 (8014 8015 8091),2010,158,0
66364-1,Star Wars Super Pack 3 in 1 (7749 8083 8084),2010,158,0
66366-1,Star Wars Super Pack  3 in 1 (8089 8083 7749),2010,158,0
66368-1,Star Wars Super Pack 3 in 1 (8083 8084 8092),2010,158,0
66377-1,Star Wars Super Pack 3 in 1,2011,158,0
66378-1,Star Wars Super Pack 3 in 1,2011,158,0
66395-1,Super Pack 3 in 1,2011,158,0
66396-1,Star Wars Super Pack 3 in 1,2011,158,0
66411-1,Super Pack 3 in 1,2012,158,0
66431-1,"Star Wars Super Pack 3 in 1 (7914, 9488, 9491)",2012,158,0
66432-1,Super Pack 3 in 1,2012,158,0
66449-1,"Star Wars Super Pack 3 in 1 (75000, 75003, 75014)",2013,158,0
66456-1,Star Wars Super Pack 3 in 1,2013,158,0
66473-1,Star Wars Super Pack 3 in 1,2013,158,0
66479-1,"Super Pack 3 in 1 (75015, 75035, 75043)",2014,158,0
66495-1,Star Wars Super Pack 3 in 1,2014,158,0
66512-1,"Star Wars Super Pack 2 in 1 (75048, 75053)",2014,158,0
66514-1,"Star Wars Microfighters Super Pack 3 in 1 (75028, 75029, 75030)",2014,158,0
66515-1,"Star Wars Microfighters Super Pack 3 in 1 (75031, 75032, 75033)",2014,158,0
66533-1,Star Wars Super Pack 3 in 1,2015,158,0
66534-1,Star Wars Super Pack 3 in 1,2015,158,0
66535-1,Battle Pack 2 in 1,2015,158,0
66536-1,Battle Pack 2 in 1,2015,158,0
66542-1,Star Wars Microfighters Super Pack 3 in 1,2016,158,0
66543-1,Microfighters Super Pack 3 in 1,2016,158,0
66555-1,Rogue One Trooper Super Pack,2017,158,0
66556-1,Star Wars Super Pack 2 in 1,2017,158,0
66596-1,Super Pack 2-in-1,2018,158,0
66597-1,Super Pack 2-in-1,2018,158,0
6963-1,X-wing Fighter - Mini (Kabaya Box),2004,158,41
6963-2,X-wing Fighter - Mini (Polybag),2004,158,41
6964-1,Boba Fett's Slave I - Mini (Kabaya Box),2004,158,25
6964-2,Boba Fett's Slave I - Mini (Polybag),2004,158,25
6965-1,TIE Interceptor - Mini (Kabaya Box),2004,158,32
6965-2,TIE Interceptor - Mini (Polybag),2005,158,32
6966-1,Jedi Starfighter - Mini,2005,158,38
6966-2,Jedi Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,158,38
6967-1,ARC-170 Starfighter - Mini,2005,158,42
6967-2,ARC-170 Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,158,42
6968-1,Mini Wookiee Attack,2005,158,48
7101-1,Lightsaber Duel,1999,158,52
7103-1,Jedi Duel,2002,158,82
7104-1,Desert Skiff,2000,158,55
7106-1,Droid Escape,2001,158,45
7110-1,Landspeeder,1999,158,49
7111-1,Droid Fighter,1999,158,62
7113-1,Tusken Raider Encounter,2002,158,93
7115-1,Gungan Patrol,2000,158,79
7119-1,Twin-Pod Cloud Car,2002,158,118
7121-1,Naboo Swamp,1999,158,82
7124-1,Flash Speeder,2000,158,107
7126-1,Battle Droid Carrier,2001,158,133
7127-1,Imperial AT-ST,2001,158,107
7128-1,Speeder Bikes,1999,158,93
7130-1,Snowspeeder,1999,158,217
7131-1,Anakin's Podracer,1999,158,136
7133-1,Bounty Hunter Pursuit,2002,158,254
7134-1,A-wing Fighter,2000,158,125
7139-1,Ewok Attack,2002,158,121
7140-1,X-wing Fighter,1999,158,271
7141-1,Naboo Fighter,1999,158,179
7142-1,X-wing Fighter (re-release of 7140),2002,158,273
7143-1,Jedi Starfighter,2002,158,139
7144-1,Slave I,2000,158,166
7146-1,TIE Fighter,2001,158,171
7150-1,TIE Fighter & Y-wing,1999,158,410
7151-1,Sith Infiltrator,1999,158,244
7152-1,TIE Fighter & Y-wing (re-release of 7150),2002,158,411
7153-1,Jango Fett's Slave I,2002,158,360
7155-1,Trade Federation AAT,2000,158,158
7159-1,Star Wars Podracing Bucket,2000,158,293
7161-1,Gungan Sub,1999,158,379
7163-1,Republic Gunship,2002,158,697
7166-1,Imperial Shuttle,2001,158,238
7171-1,Mos Espa Podrace,1999,158,913
7180-1,B-wing at Rebel Control Center,2000,158,346
7184-1,Trade Federation MTT,2000,158,466
7186-1,Watto's Junkyard,2001,158,449
7190-1,Millennium Falcon,2000,158,671
7200-1,Final Duel I,2002,158,32
7201-1,Final Duel II,2002,158,26
7203-1,Jedi Defense I,2002,158,59
7204-1,Jedi Defense II,2002,158,53
7250-1,Clone Scout Walker,2005,158,109
7251-1,Darth Vader Transformation,2005,158,60
7252-1,Droid Tri-Fighter,2005,158,148
7255-1,General Grievous Chase,2005,158,112
7256-1,Jedi Starfighter & Vulture Droid,2005,158,203
7257-1,Ultimate Lightsaber Duel,2005,158,280
7258-1,Wookiee Attack,2005,158,366
7259-1,ARC-170 Starfighter,2005,158,400
7260-1,Wookiee Catamaran,2005,158,380
7261-1,Clone Turbo Tank [Light-Up Mace Windu],2005,158,809
7261-2,Clone Turbo Tank (with Non-Light-Up Mace Windu),2006,158,819
7262-1,TIE Fighter and Y-wing (TRU exclusive re-release),2004,158,417
7263-1,TIE Fighter,2005,158,161
7264-1,Imperial Inspection,2005,158,378
7283-1,Ultimate Space Battle,2005,158,565
75000-1,Clone Troopers vs. Droidekas,2013,158,124
75001-1,Republic Troopers vs. Sith Troopers,2013,158,63
75002-1,AT-RT,2013,158,222
75003-1,A-wing Starfighter,2013,158,177
75004-1,Z-95 Headhunter,2013,158,372
75005-1,Rancor Pit,2013,158,381
75006-1,Jedi Starfighter & Planet Kamino,2013,158,61
75007-1,Republic Assault Ship & Planet Coruscant,2013,158,74
75008-1,TIE Bomber & Asteroid Field,2013,158,60
75009-1,Snowspeeder & Planet Hoth,2013,158,69
75010-1,B-wing Starfighter & Planet Endor,2013,158,83
75011-1,Tantive IV & Planet Alderaan,2013,158,102
75012-1,BARC Speeder with Sidecar,2013,158,226
75013-1,Umbaran MHC (Mobile Heavy Cannon),2013,158,492
75014-1,Battle Of Hoth,2013,158,416
75015-1,Corporate Alliance Tank Droid,2013,158,277
75016-1,Homing Spider Droid,2013,158,295
75017-1,Duel on Geonosis,2013,158,391
75018-1,JEK-14's Stealth Starfighter,2013,158,550
75019-1,AT-TE,2013,158,793
75020-1,Jabba’s Sail Barge,2013,158,850
75021-1,Republic Gunship,2013,158,1174
75022-1,Mandalorian Speeder,2013,158,211
75023-1,Star Wars Advent Calendar 2013,2013,209,254
75024-1,HH-87 Starhopper,2014,158,362
75025-1,Jedi Defender-class Cruiser,2013,158,926
75028-1,Clone Turbo Tank,2014,158,96
75029-1,AAT,2014,158,95
75030-1,Millennium Falcon,2014,158,94
75031-1,TIE Interceptor,2014,158,92
75032-1,X-Wing Fighter,2014,158,97
75033-1,Star Destroyer,2014,158,97
75034-1,Death Star Troopers,2014,158,100
75035-1,Kashyyyk Troopers,2014,158,99
75036-1,Utapau Troopers,2014,158,83
75037-1,Battle on Saleucami,2014,158,178
75038-1,Jedi Interceptor,2014,158,222
75039-1,V-Wing Starfighter,2014,158,200
75040-1,General Grievous' Wheel Bike,2014,158,261
75041-1,Vulture Droid,2014,158,204
75042-1,Droid Gunship,2014,158,439
75043-1,AT-AP,2014,158,717
75044-1,Droid Tri-Fighter,2014,158,263
75045-1,Republic AV-7 Anti-Vehicle Cannon,2014,158,434
75046-1,Coruscant Police Gunship,2014,158,481
75048-1,The Phantom,2014,158,234
75049-1,Snowspeeder,2014,158,279
75050-1,B-Wing,2014,158,448
75051-1,Jedi Scout Fighter,2014,158,490
75052-1,Mos Eisley Cantina,2014,158,616
75053-1,The Ghost,2014,158,929
75054-1,AT-AT,2014,158,1137
75055-1,Imperial Star Destroyer,2014,158,1358
75056-1,Star Wars Advent Calendar 2014,2014,209,273
75058-1,MTT,2014,158,953
75072-1,ARC-170 Starfighter,2015,158,95
75073-1,Vulture Droid,2015,158,77
75074-1,Snowspeeder,2015,158,97
75075-1,AT-AT,2015,158,88
75076-1,Republic Gunship,2015,158,105
75077-1,Homing Spider Droid,2015,158,102
75078-1,Imperial Troop Transport,2015,158,141
75079-1,Shadow Troopers,2015,158,95
75080-1,AAT,2015,158,251
75081-1,T-16 Skyhopper,2015,158,247
75082-1,TIE Advanced Prototype,2015,158,355
75083-1,AT-DP,2015,158,500
75084-1,Wookiee Gunship,2015,158,570
75085-1,Hailfire Droid,2015,158,163
75086-1,Battle Droid Troop Carrier,2015,158,565
75087-1,Anakin's Custom Jedi Starfighter,2015,158,369
75088-1,Senate Commando Troopers,2015,158,106
75089-1,Geonosis Troopers,2015,158,105
75090-1,Ezra's Speeder Bike,2015,158,267
75090-2,Ezra's Speeder Bike,2015,158,253
75091-1,Flash Speeder,2015,158,312
75092-1,Naboo Starfighter,2015,158,441
75093-1,Death Star Final Duel,2015,158,723
75094-1,Imperial Shuttle Tydirium,2015,158,937
75096-1,Sith Infiltrator,2015,158,661
75097-1,Star Wars Advent Calendar 2015,2015,209,291
75099-1,Rey's Speeder,2015,158,194
75100-1,First Order Snowspeeder,2015,158,444
75101-1,First Order Special Forces TIE Fighter,2015,158,530
75102-1,Poe's X-Wing Fighter,2015,158,715
75103-1,First Order Transporter,2015,158,792
75104-1,Kylo Ren's Command Shuttle,2015,158,1005
75105-1,Millennium Falcon,2015,158,1330
75106-1,Imperial Assault Carrier,2015,158,1216
75107-1,Jango Fett,2015,158,85
75108-1,Clone Commander Cody,2015,158,82
75109-1,Obi-Wan Kenobi,2015,158,83
75110-1,Luke Skywalker,2015,158,83
75111-1,Darth Vader,2015,158,160
75112-1,General Grievous,2015,158,186
75113-1,Rey,2016,158,84
75114-1,First Order Stormtrooper,2016,158,81
75115-1,Poe Dameron,2016,158,102
75116-1,Finn,2016,158,98
75117-1,Kylo Ren,2016,158,86
75118-1,Captain Phasma,2016,158,82
75119-1,Sergeant Jyn Erso,2016,158,104
75120-1,K-2SO,2016,158,169
75121-1,Imperial Death Trooper,2016,158,105
75125-1,Resistance X-Wing Fighter,2016,158,87
75126-1,First Order Snowspeeder,2016,158,91
75127-1,The Ghost,2016,158,104
75128-1,TIE Advanced Prototype,2016,158,93
75129-1,Wookiee Gunship,2016,158,84
75130-1,AT-DP,2016,158,76
75131-1,Resistance Trooper Battle Pack,2016,158,112
75132-1,First Order Battle Pack,2016,158,88
75133-1,Rebel Alliance Battle Pack,2016,158,101
75134-1,Galactic Empire Battle Pack,2016,158,109
75135-1,Obi-Wan's Jedi Interceptor,2016,158,215
75136-1,Droid Escape Pod,2016,158,197
75137-1,Carbon-Freezing Chamber,2016,158,231
75138-1,Hoth Attack,2016,158,233
75139-1,Battle on Takodana,2016,158,409
75140-1,Resistance Troop Transporter,2016,158,646
75141-1,Kanan's Speeder Bike,2016,158,234
75142-1,Homing Spider Droid,2016,158,310
75145-1,Eclipse Fighter,2016,158,363
75146-1,Star Wars Advent Calendar 2016,2016,209,282
75147-1,StarScavenger,2016,158,558
75148-1,Encounter on Jakku,2016,158,530
75149-1,Resistance X-Wing Fighter,2016,158,740
75150-1,Vader’s TIE Advanced vs. A-Wing Starfighter,2016,158,702
75151-1,Clone Turbo Tank,2016,158,903
75152-1,Imperial Assault Hovertank,2016,158,385
75153-1,AT-ST Walker,2016,158,449
75154-1,TIE Striker,2016,158,543
75155-1,Rebel U-Wing Fighter,2016,158,659
75156-1,Krennic’s Imperial Shuttle,2016,158,862
75157-1,Captain Rex’s AT-TE,2016,158,972
75158-1,Rebel Combat Frigate,2016,158,935
75160-1,U-Wing Microfighter,2017,158,108
75161-1,TIE Striker Microfighter,2017,158,87
75162-1,Y-Wing Microfighter,2017,158,90
75163-1,Krennic's Imperial Shuttle Microfighter,2017,158,77
75164-1,Rebel Trooper Battle Pack,2017,158,120
75165-1,Imperial Trooper Battle Pack,2017,158,111
75166-1,First Order Transport Speeder Battle Pack,2017,158,117
75167-1,"Bounty Hunter Speeder Bike"" Battle Pack",2017,158,125
75168-1,Yoda's Jedi Starfighter,2017,158,262
75169-1,Duel on Naboo,2017,158,208
75170-1,The Phantom,2017,158,269
75171-1,Battle on Scarif,2017,158,419
75172-1,Y-Wing Starfighter,2017,158,691
75173-1,Luke's Landspeeder,2017,158,149
75174-1,Desert Skiff Escape,2017,158,284
75175-1,A-Wing Starfighter,2017,158,358
75176-1,Resistance Transport Pod,2017,158,294
75177-1,First Order Heavy Scout Walker,2017,158,554
75178-1,Jakku Quadjumper,2017,158,457
75179-1,Kylo Ren's TIE Fighter,2017,158,630
75180-1,Rathtar Escape,2017,158,836
75182-1,Republic Fighter Tank,2017,158,305
75183-1,Darth Vader Transformation,2017,158,290
75184-1,Star Wars Advent Calendar 2017,2017,209,309
75185-1,Tracker I,2017,158,557
75186-1,The Arrowhead,2017,158,774
75187-1,BB-8,2017,158,1106
75188-1,Resistance Bomber,2017,158,780
75188-2,Resistance Bomber (Finch Dallow version),2018,158,758
75189-1,First Order Heavy Assault Walker,2017,158,1376
75190-1,First Order Star Destroyer,2017,158,1416
75191-1,Jedi Starfighter with Hyperdrive,2017,158,832
75193-1,Millennium Falcon Microfighter,2018,158,92
75194-1,First Order TIE Fighter Microfighter,2018,158,91
75195-1,Ski Speeder vs First Order Walker Microfighters,2018,158,216
75196-1,A-Wing vs. TIE Silencer Microfighters,2018,158,188
75197-1,First Order Specialists Battle Pack,2018,158,108
75198-1,Tatooine Battle Pack,2018,158,97
75199-1,General Grievous' Combat Speeder,2018,158,157
75200-1,Ahch-To Island Training,2018,158,241
75201-1,First Order AT-ST,2018,158,370
75202-1,Defense of Crait,2018,158,746
75203-1,Hoth Medical Chamber,2018,158,255
75204-1,Sandspeeder,2018,158,278
75205-1,Mos Eisley Cantina,2018,158,376
75206-1,Jedi and Clone Troopers Battle Pack,2018,158,102
75207-1,Imperial Patrol Battle Pack,2018,158,99
75208-1,Yoda's Hut,2018,158,229
75209-1,Han Solo's Landspeeder,2018,158,345
75210-1,Moloch's Landspeeder,2018,158,461
75211-1,Imperial TIE Fighter,2018,158,519
75212-1,Kessel Run Millennium Falcon,2018,158,1414
75213-1,Star Wars Advent Calendar 2018,2018,209,307
75214-1,Anakin's Jedi Starfighter,2018,158,247
75215-1,Cloud-Rider Swoop Bikes,2018,158,355
75216-1,Snoke's Throne Room,2018,158,491
75217-1,Imperial Conveyex Transport,2018,158,622
75218-1,X-Wing Starfighter,2018,158,730
75219-1,Imperial AT-Hauler,2018,158,829
75220-1,Sandcrawler,2018,158,1239
75221-1,Imperial Landing Craft,2018,158,635
75222-1,Betrayal at Cloud City,2018,158,2810
75223-1,Naboo Starfighter Microfighter,2019,158,62
75224-1,Sith Infiltrator Microfighter,2019,158,92
75225-1,Elite Praetorian Guard Battle Pack,2019,158,109
75226-1,Inferno Squad Battle Pack,2019,158,118
75227-1,Darth Vader Bust,2019,158,327
75228-1,Escape Pod vs. Dewback Microfighters,2019,158,177
75229-1,Death Star Escape,2019,158,329
75230-1,Porg,2018,158,811
75233-1,Droid Gunship,2019,158,389
75234-1,AT-AP Walker,2019,158,688
75235-1,X-Wing Starfighter Trench Run,2019,158,132
75236-1,Duel on Starkiller Base,2019,158,191
75237-1,TIE Fighter Attack,2019,158,77
75238-1,Action Battle Endor Assault,2019,158,193
75239-1,Action Battle Hoth Generator Attack,2019,158,235
75240-1,Major Vonreg’s TIE Fighter,2019,158,496
75241-1,Action Battle Echo Base Defense,2019,158,504
75242-1,Black Ace TIE Interceptor,2019,158,396
75243-1,Slave I - 20th Anniversary Edition,2019,158,1006
75244-1,Tantive IV,2019,158,1772
75245-1,Star Wars Advent Calendar 2019,2019,209,280
75246-1,Death Star Cannon,2019,158,159
75247-1,Rebel A-Wing Starfighter,2019,158,62
75248-1,Resistance A-Wing Starfighter,2019,158,269
75249-1,Resistance Y-Wing Starfighter,2019,158,578
75250-1,Pasaana Speeder Chase,2019,158,372
75251-1,Darth Vader's Castle,2018,158,1060
75253-1,Droid Commander,2019,158,1184
75254-1,AT-ST Raider,2019,158,540
75255-1,Yoda,2019,158,1771
75256-1,Kylo Ren's Shuttle,2019,158,1005
75257-1,Millennium Falcon,2019,158,1348
75258-1,Anakin's Podracer - 20th Anniversary Edition,2019,158,279
75259-1,Snowspeeder - 20th Anniversary Edition,2019,158,309
75261-1,Clone Scout Walker - 20th Anniversary Edition,2019,158,250
75262-1,Imperial Dropship - 20th Anniversary Edition,2019,158,125
75263-1,Resistance Y-wing Microfighter,2020,158,86
75264-1,Kylo Ren's Shuttle Microfighter,2020,158,72
75265-1,T-16 Skyhopper vs. Bantha Microfighters,2020,158,198
75266-1,Sith Troopers Battle Pack,2020,158,105
75267-1,Mandalorian Battle Pack,2020,158,109
75268-1,Snowspeeder,2020,158,91
75269-1,Duel on Mustafar,2020,158,208
75270-1,Obi-Wan's Hut,2020,158,200
75271-1,Luke Skywalker's Landspeeder,2020,158,236
75272-1,Sith TIE Fighter,2020,158,470
75273-1,Poe Dameron's X-wing Fighter,2020,158,761
75274-1,TIE Fighter Pilot,2020,158,723
75276-1,Stormtrooper,2020,158,646
75277-1,Boba Fett,2020,158,625
75278-1,D-O,2020,158,519
75279-1,Star Wars Advent Calendar 2020,2020,209,312
75280-1,501st Legion Clone Troopers,2020,158,284
75281-1,Anakin’s Jedi Interceptor,2020,158,247
75283-1,Armoured Assault Tank (AAT),2020,158,285
75284-1,Knights of Ren Transport Ship,2020,158,595
75286-1,General Grievous’s Starfighter,2020,158,487
75288-1,AT-AT,2020,158,1267
75290-1,Mos Eisley Cantina,2020,158,0
75291-1,Death Star Final Duel,2020,158,774
75292-1,The Razor Crest,2020,158,1023
75293-1,Resistance I-TS Transport,2020,158,931
75294-1,Bespin Duel,2020,158,294
75318-1,The Child,2020,158,0
75512-1,Millennium Falcon Cockpit,2018,158,203
75522-1,Mini Droid Commander,2019,158,62
75523-1,Scarif Stormtrooper,2017,158,89
75524-1,Chirrut Îmwe,2017,158,87
75525-1,Baze Malbus,2017,158,148
75526-1,Elite TIE Fighter Pilot,2017,158,94
75528-1,Rey,2017,158,83
75529-1,Elite Praetorian Guard,2017,158,92
75530-1,Chewbacca,2017,158,179
75531-1,Stormtrooper Commander,2017,158,100
75532-1,Scout Trooper & Speeder Bike,2017,158,452
75533-1,Boba Fett,2018,158,144
75534-1,Darth Vader,2018,158,168
75535-1,Han Solo,2018,158,100
75536-1,Range Trooper,2018,158,101
75537-1,Darth Maul,2018,158,104
7654-1,Droids Battle Pack,2007,158,102
7655-1,Clone Troopers Battle Pack,2007,158,58
7656-1,General Grievous Starfighter,2007,158,232
7657-1,AT-ST,2007,158,243
7658-1,Y-wing Fighter,2007,158,454
7659-1,Imperial Landing Craft,2007,158,471
7660-1,Naboo N-1 Starfighter and Vulture Droid,2007,158,279
7661-1,Jedi Starfighter with Hyperdrive Booster Ring,2007,158,575
7662-1,Trade Federation MTT,2007,158,1326
7663-1,Sith Infiltrator,2007,158,310
7664-1,TIE Crawler,2007,158,546
7665-1,Republic Cruiser (Limited Edition - with R2-R7),2007,158,919
7666-1,Hoth Rebel Base [Limited Edition - with K-3PO],2007,158,557
7667-1,Imperial Dropship,2008,158,81
7668-1,Rebel Scout Speeder,2008,158,81
7669-1,Anakin's Jedi Starfighter,2008,158,153
7669-2,Anakin's Jedi Starfighter Clone Wars White Box,2008,158,152
7670-1,Hailfire Droid & Spider Droid,2008,158,249
7670-2,Hailfire Droid & Spider Droid Clone Wars White Box,2008,158,249
7671-1,AT-AP Walker,2008,158,392
7672-1,Rogue Shadow,2008,158,481
7673-1,Magna Guard Starfighter,2008,158,431
7674-1,V-19 Torrent,2008,158,471
7675-1,AT-TE Walker,2008,158,810
7676-1,Republic Attack Gunship,2008,158,1044
